127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/app.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/footable/js/footable.js?v=2-0-1 HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/toggle_close.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/footable/js/footable.filter.js?v=2-0-1 HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/switch/bootstrap-switch.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/iCheck/jquery.icheck.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/inputMask/jquery.maskedinput.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/footable/js/footable.paginate.js?v=2-0-1 HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/timepicker/bootstrap-timepicker.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/datepicker/bootstrap-datepicker.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/css/font-awesome.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/datepicker/clockface.js HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/skin-select/skin-select.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/css/maki-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/css/weather-icons.min.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/css/dripicon.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/pace/themes/pace-theme-center-simple.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/css/entypo-icon.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/js/datepicker/daterangepicker-bs3.css HTTP/1.1" 304 -
127.0.0.1 - - [17/Mar/2015:20:02:53 -0300] "GET /viatge/resources/css/open-sans.css HTTP/1.1" 304 -
